step	loss
9	2.941682815551758
19	1.0029743909835815
29	0.48458948731422424
39	0.755398690700531
49	0.475989431142807
59	0.8358581066131592
69	0.3746838867664337
79	0.6594198346138
89	0.47994154691696167
99	0.48968133330345154
109	0.39533740282058716
119	0.346906453371048
129	0.20489676296710968
139	0.21821236610412598
149	0.46851953864097595
159	0.25416767597198486
169	0.31316322088241577
179	0.06446822732686996
189	0.31028690934181213
199	0.13271130621433258
209	0.2240307331085205
219	0.20000532269477844
229	0.5681509971618652
239	0.17729823291301727
249	0.1906539499759674
259	0.09346311539411545
269	0.22365078330039978
279	0.2262667417526245
289	0.14429982006549835
299	0.20323093235492706
309	0.02490369789302349
319	0.29834845662117004
329	0.10873015224933624
339	0.05086425319314003
349	0.12991735339164734
359	0.12537044286727905
369	0.20729413628578186
379	0.6321433186531067
389	0.14208774268627167
399	0.3401186764240265
409	0.05359267070889473
419	0.2852388322353363
429	0.02052302472293377
439	0.032773930579423904
449	0.12864555418491364
459	0.12265871465206146
469	0.03336279094219208
479	0.23907575011253357
489	0.05775377154350281
499	0.0348033607006073
509	0.045994438230991364
519	0.13088466227054596
529	0.029610134661197662
539	0.09356370568275452
549	0.38508138060569763
559	0.23834364116191864
569	0.07406175881624222
579	0.06706246733665466
589	0.00897104013711214
599	0.10916495323181152
609	0.10873359441757202
619	0.1818135380744934
629	0.09297706931829453
639	0.06087519973516464
649	0.1672380268573761
659	0.09400538355112076
669	0.03219583258032799
679	0.3087596893310547
689	0.0065666260197758675
699	0.01154552772641182
709	0.204789936542511
719	0.07151316851377487
729	0.08217783272266388
739	0.18222828209400177
749	0.19909623265266418
759	0.00773336598649621
769	0.056886009871959686
779	0.01872093975543976
789	0.0068742334842681885
799	0.19689379632472992
809	0.04042651504278183
819	0.03313938155770302
829	0.3577260375022888
839	0.007530927192419767
849	0.28917989134788513
859	0.024158000946044922
869	0.0697120726108551
879	0.009446782059967518
889	0.12044751644134521
899	0.14743837714195251
909	0.3538864254951477
919	0.037838164716959
929	0.5862464904785156
939	0.016947826370596886
949	0.008461274206638336
959	0.050643060356378555
969	0.03670979291200638
979	0.019606832414865494
989	0.10536564141511917
999	0.008697356097400188
1009	0.25036725401878357
1019	0.003453657031059265
1029	0.11885257810354233
1039	0.02281268872320652
1049	0.005622949451208115
1059	0.052696846425533295
1069	0.005988411605358124
1079	0.0070046489126980305
1089	0.11272045969963074
1099	0.10883914679288864
1109	0.002294558100402355
1119	0.038692016154527664
1129	0.01134995836764574
1139	0.00736233452335
1149	0.04098796844482422
1159	0.004933048039674759
1169	0.005862595047801733
1179	0.08670826256275177
1189	0.001857113209553063
1199	0.10919161885976791
1209	0.021358290687203407
1219	0.09352759271860123
1229	0.024926448240876198
1239	0.02697155997157097
1249	0.011175702325999737
1259	0.02226240001618862
1269	0.5443413853645325
1279	0.029309388250112534
1289	0.08913082629442215
1299	0.00454070046544075
1309	0.036041323095560074
1319	0.13380204141139984
1329	0.0069235642440617085
1339	0.01624191924929619
1349	0.028270838782191277
1359	0.014823585748672485
1369	0.01333819329738617
1379	0.019300956279039383
1389	0.0037800988648086786
1399	0.0758846178650856
1409	0.1281566619873047
1419	0.16571226716041565
1429	0.20840513706207275
1439	0.22502581775188446
1449	0.008390529081225395
1459	0.09464724361896515
1469	0.26511719822883606
1479	0.018988773226737976
1489	0.002043417189270258
1499	0.025990908965468407
1509	0.29141858220100403
1519	0.01839142106473446
1529	0.001793964533135295
1539	0.03811672329902649
1549	0.022007642313838005
1559	0.06043170019984245
1569	0.2968606948852539
1579	0.06499556452035904
1589	0.12387047708034515
1599	0.00847629364579916
1609	0.0027628515381366014
1619	0.046272169798612595
1629	0.004443046636879444
1639	0.2787833511829376
1649	0.01420384831726551
1659	0.003882726887241006
1669	0.033525966107845306
1679	0.015821237117052078
1689	0.24765707552433014
1699	0.08790822327136993
1709	0.02378990687429905
1719	0.016857394948601723
1729	0.015601319260895252
1739	0.003660665825009346
1749	0.006781277246773243
1759	0.06519849598407745
1769	0.0013334734831005335
1779	0.013829227536916733
1789	0.016051646322011948
1799	0.00578285800293088
1809	0.3717045783996582
1819	0.10630076378583908
1829	0.001434055157005787
1839	0.026444800198078156
1849	0.01459548156708479
1859	0.00607675313949585
1869	0.13956457376480103
1879	0.01317161601036787
1889	0.004887736402451992
1899	0.016723785549402237
1909	0.006723920349031687
1919	0.22712399065494537
1929	0.05340021103620529
1939	0.0007206309819594026
1949	0.0071636466309428215
1959	0.17436325550079346
1969	0.0021445543970912695
1979	0.16821794211864471
1989	0.04212166368961334
1999	0.051389455795288086
2009	0.030249813571572304
2019	0.28279760479927063
2029	0.01267040241509676
2039	0.19600045680999756
2049	0.1691066473722458
2059	0.287819504737854
2069	0.013669798150658607
2079	0.017862768843770027
2089	0.005497968755662441
2099	0.00035785685759037733
2109	0.000870371819473803
2119	0.0011917289812117815
2129	0.044953182339668274
2139	0.053896524012088776
2149	0.018079176545143127
2159	0.11992757022380829
2169	0.004702500533312559
2179	0.006007013842463493
2189	0.0008755008457228541
2199	0.026079097762703896
2209	0.028809232637286186
2219	0.020919663831591606
2229	0.009661443531513214
2239	0.002566330600529909
2249	0.12409001588821411
2259	0.0008252512197941542
2269	0.06825923174619675
2279	0.004010480362921953
2289	0.0008206285419873893
2299	0.10199186950922012
2309	0.026331201195716858
2319	0.1575697809457779
2329	0.006058410741388798
2339	0.17094439268112183
2349	0.000961969664786011
2359	0.001678926288150251
2369	0.0025561933871358633
2379	0.02037730999290943
2389	0.11386620998382568
2399	0.0065536219626665115
2409	0.027522431686520576
2419	0.0015740919625386596
2429	0.029483584687113762
2439	0.006823268253356218
2449	0.0052445572800934315
2459	0.00075445172842592
2469	0.0010657801758497953
2479	0.0008595631807111204
2489	0.28861087560653687
2499	0.00431000255048275
2509	0.03681770712137222
2519	0.010146716609597206
2529	0.046679120510816574
2539	0.0013569013681262732
2549	0.03070864826440811
2559	0.0016622791299596429
2569	0.0595858097076416
2579	0.01777621917426586
2589	0.018322458490729332
2599	0.005071638617664576
2609	0.07239294052124023
2619	0.0009515060810372233
2629	0.01829591952264309
2639	0.005753254517912865
2649	0.0008262510527856648
2659	0.010487337596714497
2669	0.15924184024333954
2679	0.04677189141511917
2689	0.0020904133561998606
